SEXO	EDAD	HORARIO	JORNADA	TiempoLAB	TiempoCUIDADO	DIASEMANA
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	1
F	35_59	3	Normal	26400	600	3
F	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	12600	5
F	35_59	1	Festivo	0	600	4
F	M60	0	SinOcup	0	0	5
F	35_59	1	DescansoNOTRAB	0	2700	6
M	M60	0	SinOcup	0	0	6
F	16_34	0	SinOcup	0	0	7
F	35_59	5	Normal	28800	0	7
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	24000	0	5
M	M60	0	SinOcup	0	0	3
M	M60	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	0	0	5
F	35_59	2	DescansoSITRAB	6600	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	29700	5100	2
M	35_59	1	DescansoNOTRAB	0	2700	6
F	16_34	3	Normal	43500	0	5
F	M60	0	SinOcup	0	0	7
F	16_34	0	SinOcup	33000	0	6
F	35_59	0	SinOcup	0	0	4
M	16_34	0	SinOcup	32400	0	7
F	M60	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	6
F	35_59	3	Otros	0	0	1
M	35_59	0	SinOcup	0	16800	7
F	16_34	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	1800	0	5
F	16_34	0	SinOcup	0	0	4
M	M60	0	SinOcup	0	0	6
F	16_34	0	SinOcup	0	26400	5
F	M60	0	SinOcup	0	0	7
M	35_59	0	SinOcup	0	0	2
F	16_34	0	SinOcup	35400	0	7
M	35_59	3	Normal	26100	1800	3
M	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	7
M	16_34	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	13500	7
F	M60	0	SinOcup	0	0	2
M	35_59	5	Normal	7200	10800	7
F	16_34	0	SinOcup	12600	0	5
F	M60	0	SinOcup	0	0	5
M	35_59	0	SinOcup	0	0	3
F	35_59	1	Festivo	0	0	6
M	35_59	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
F	35_59	0	SinOcup	0	5400	7
M	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	29400	3600	1
M	16_34	3	DescansoSITRAB	28800	3000	6
M	16_34	3	Normal	39600	0	5
M	M15	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	7200	7
M	16_34	0	SinOcup	17400	0	3
M	M60	0	SinOcup	0	0	4
M	35_59	3	Normal	28800	0	6
M	35_59	3	Normal	27000	0	5
F	35_59	0	SinOcup	0	0	3
M	35_59	1	DescansoNOTRAB	0	2700	7
M	M60	0	SinOcup	0	0	7
F	M15	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	16800	7
F	16_34	0	SinOcup	0	0	7
M	35_59	3	Normal	25200	0	5
M	35_59	3	Normal	31500	0	4
M	M60	1	DescansoNOTRAB	0	0	6
F	M15	0	SinOcup	32400	0	5
M	M60	0	SinOcup	0	0	1
F	35_59	3	Normal	28200	9600	5
F	M60	3	Normal	32100	0	5
F	35_59	0	SinOcup	0	27900	6
M	35_59	3	Normal	36300	0	4
F	M60	0	SinOcup	0	0	6
M	M15	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	7
M	M60	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	35100	7200	5
F	M60	0	SinOcup	0	0	3
F	16_34	0	SinOcup	16200	0	7
F	16_34	3	Normal	31800	0	2
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
F	35_59	3	DescansoSITRAB	41700	0	6
F	M60	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	6300	5
F	35_59	2	MediaJ	22500	0	5
M	16_34	0	SinOcup	0	16800	7
F	35_59	0	SinOcup	0	0	3
F	35_59	1	BajaEnf	0	0	6
M	M15	0	SinOcup	22500	0	4
M	M60	3	Normal	24300	5400	2
F	M60	0	SinOcup	0	1500	4
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	7
F	35_59	1	DescansoNOTRAB	0	15300	6
M	M60	1	DescansoNOTRAB	0	0	7
M	35_59	2	Normal	20700	0	6
F	35_59	3	Normal	25200	2700	7
M	M60	0	SinOcup	0	0	7
M	M15	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	600	4
F	16_34	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	34200	0	5
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	24300	0	6
M	M60	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	0	SinOcup	0	14100	5
M	M60	0	SinOcup	0	21000	5
F	M15	0	SinOcup	0	0	6
F	M15	0	SinOcup	20700	0	7
M	16_34	1	DescansoNOTRAB	0	15000	6
F	M60	0	SinOcup	0	0	1
M	35_59	3	Normal	20400	0	2
F	M60	0	SinOcup	0	0	5
M	16_34	0	SinOcup	16200	0	1
F	M60	0	SinOcup	0	3600	7
M	M60	0	SinOcup	0	0	6
F	35_59	1	Otros	0	9300	5
M	16_34	3	Normal	25200	0	5
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	30900	3600	3
F	35_59	3	DescansoSITRAB	30600	0	7
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	5400	5
F	35_59	3	Normal	4800	4200	4
M	35_59	1	DescansoNOTRAB	0	13500	6
F	16_34	0	SinOcup	0	0	7
F	16_34	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
F	35_59	0	SinOcup	6600	1800	5
F	16_34	3	Normal	27900	0	5
M	M60	0	SinOcup	0	0	3
M	35_59	3	Normal	45600	300	5
M	M60	0	SinOcup	0	4500	5
F	35_59	0	SinOcup	0	6000	7
M	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	6300	1
M	M60	0	SinOcup	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	4
M	M15	0	SinOcup	0	0	7
M	M60	1	Festivo	0	0	6
M	35_59	3	Normal	29400	0	7
F	35_59	3	Normal	26100	0	5
F	35_59	3	Normal	25200	0	2
F	M15	0	SinOcup	0	0	5
F	35_59	3	Normal	27000	0	1
F	M15	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
M	16_34	0	SinOcup	2700	0	5
F	M15	0	SinOcup	36600	0	4
F	16_34	0	SinOcup	2100	0	5
F	35_59	3	Normal	27300	0	1
M	16_34	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	24000	0	5
F	16_34	1	DescansoNOTRAB	0	21300	7
F	M60	3	Normal	15600	0	5
F	35_59	1	DescansoNOTRAB	0	9000	7
F	16_34	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	2
M	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	24000	18300	5
M	M60	0	SinOcup	0	30300	5
F	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	32400	0	3
M	M60	0	SinOcup	0	0	7
F	16_34	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	24600	0	2
F	35_59	1	DescansoNOTRAB	0	7200	7
M	M15	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
F	M15	0	SinOcup	0	0	6
F	16_34	3	Otros	46200	0	6
F	M60	0	SinOcup	0	0	7
M	16_34	0	SinOcup	21900	0	5
M	35_59	0	SinOcup	0	0	6
M	35_59	3	Normal	37500	0	5
F	35_59	3	Normal	26100	0	2
M	M60	0	SinOcup	0	0	1
M	35_59	3	Normal	33000	0	4
M	35_59	4	Normal	25200	0	7
F	16_34	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	17400	6
M	35_59	1	DescansoNOTRAB	0	0	6
F	16_34	0	SinOcup	28800	0	5
F	M60	0	SinOcup	0	22200	3
M	35_59	3	Normal	21600	0	1
M	16_34	0	SinOcup	0	0	5
F	35_59	3	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	6
F	16_34	3	Normal	26400	0	2
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	3600	7
M	16_34	3	Otros	36900	0	4
M	35_59	1	DescansoNOTRAB	3600	0	6
M	35_59	2	Normal	43200	0	5
F	M60	0	SinOcup	0	0	7
F	35_59	0	SinOcup	21000	15000	5
M	M60	0	SinOcup	0	0	7
F	35_59	0	SinOcup	0	11700	3
M	35_59	3	DescansoSITRAB	18000	0	6
F	16_34	0	SinOcup	14400	0	2
F	35_59	1	DescansoNOTRAB	0	3000	6
M	35_59	1	DescansoNOTRAB	0	21900	7
M	35_59	3	Normal	36000	0	5
F	35_59	3	Normal	34200	0	3
M	16_34	0	SinOcup	27300	0	5
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	4
M	16_34	0	SinOcup	28800	0	4
M	35_59	1	DescansoNOTRAB	6600	1200	1
F	35_59	4	Normal	25200	0	7
F	16_34	3	Normal	27600	0	5
F	35_59	4	DescansoSITRAB	28800	0	7
F	35_59	3	Normal	28800	1800	5
F	M60	0	SinOcup	0	28200	6
F	M60	0	SinOcup	0	0	4
M	16_34	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	10800	6
M	16_34	0	SinOcup	27900	0	1
F	M60	0	SinOcup	0	0	7
M	16_34	3	Normal	23400	0	5
M	35_59	3	Normal	38700	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	32400	0	3
F	16_34	1	DescansoNOTRAB	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
F	16_34	3	Normal	14400	0	5
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	27000	3600	5
M	35_59	3	MediaJ	24300	0	6
M	35_59	0	SinOcup	25200	0	5
M	16_34	1	DescansoNOTRAB	0	12000	7
M	M60	0	SinOcup	0	0	5
F	M15	0	SinOcup	27000	0	3
M	35_59	3	Normal	29400	0	2
F	35_59	0	SinOcup	0	11400	4
F	M15	0	SinOcup	31800	0	3
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	38400	0	5
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	5400	0	5
M	35_59	3	Normal	12600	0	2
F	M60	0	SinOcup	0	0	7
F	16_34	0	SinOcup	18000	0	5
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	4500	6
F	35_59	0	SinOcup	0	0	4
F	M60	0	SinOcup	0	0	1
M	35_59	1	DescansoNOTRAB	0	0	7
F	16_34	0	SinOcup	10800	0	6
F	35_59	3	Normal	28500	7200	6
F	35_59	3	Normal	22500	0	1
M	M60	3	Normal	32400	0	3
F	16_34	0	SinOcup	37800	0	7
F	M60	0	SinOcup	0	0	2
M	M60	3	Normal	15300	7200	5
M	16_34	0	SinOcup	32400	0	2
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	35100	0	5
M	35_59	0	SinOcup	21600	0	6
F	M60	0	SinOcup	0	4200	7
M	16_34	0	SinOcup	25200	900	7
F	35_59	3	Normal	17100	0	5
M	M60	0	SinOcup	0	0	6
F	16_34	3	Normal	18300	600	5
M	35_59	1	DescansoNOTRAB	0	7200	7
F	M60	0	SinOcup	0	0	6
F	M60	4	MediaJ	11700	0	2
M	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	600	6
F	16_34	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	10800	4
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	5400	5
M	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	3
F	35_59	3	Normal	19200	12900	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M15	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	32400	0	5
M	M60	0	SinOcup	0	0	4
F	M15	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	25200	0	2
M	M60	1	DescansoNOTRAB	1800	0	7
F	M60	0	SinOcup	0	0	3
M	16_34	0	SinOcup	20700	0	3
M	16_34	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	7
F	35_59	1	BajaEnf	0	12900	5
F	35_59	3	MediaJ	18000	0	7
M	16_34	3	DescansoSITRAB	13200	0	6
F	35_59	3	Normal	21600	0	5
M	35_59	3	Normal	39900	0	4
F	35_59	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	1
F	35_59	1	DescansoNOTRAB	0	1800	7
F	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	34200	0	5
F	35_59	1	DescansoNOTRAB	0	0	2
F	16_34	1	DescansoNOTRAB	5400	0	5
M	35_59	3	Normal	31500	0	5
F	M60	0	SinOcup	0	0	4
M	M60	0	SinOcup	0	0	7
F	35_59	3	Normal	24600	2700	6
M	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	6
F	M15	0	SinOcup	22500	0	3
M	35_59	1	DescansoNOTRAB	0	17400	7
M	16_34	0	SinOcup	0	0	5
F	35_59	1	Festivo	0	0	5
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	3
F	35_59	0	SinOcup	0	13500	1
M	35_59	3	Normal	22500	1200	6
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	17400	5
F	35_59	0	SinOcup	0	6300	5
F	35_59	1	DescansoNOTRAB	0	9300	7
F	35_59	1	DescansoNOTRAB	0	1200	6
M	35_59	1	Otros	0	0	5
F	16_34	0	SinOcup	3600	1800	5
M	M15	0	SinOcup	5400	0	6
M	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	5
F	16_34	5	Normal	7200	10500	4
M	16_34	0	SinOcup	26700	0	2
M	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	0	7
M	35_59	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	3600	7
M	35_59	3	Normal	34800	1800	5
F	35_59	4	DescansoSITRAB	25500	0	6
F	M60	3	Normal	32400	0	1
M	M60	0	SinOcup	0	7800	4
F	35_59	1	DescansoNOTRAB	0	0	2
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	7200	0	6
F	35_59	1	DescansoNOTRAB	25200	0	6
F	35_59	3	Normal	31200	0	7
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	13500	5
F	M15	0	SinOcup	3600	0	7
F	35_59	3	Normal	29700	0	5
M	M60	0	SinOcup	0	0	7
M	16_34	3	Normal	39600	0	3
F	M60	0	SinOcup	0	0	3
F	35_59	3	Normal	27900	16200	5
F	M15	0	SinOcup	0	15600	6
M	35_59	1	DescansoNOTRAB	0	11700	7
M	M15	0	SinOcup	30000	0	5
M	35_59	3	Normal	36300	0	4
M	35_59	5	Normal	7200	0	5
M	M15	0	SinOcup	21600	0	3
M	35_59	3	MediaJ	27000	0	6
M	35_59	3	Normal	29100	0	7
F	M60	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	12000	9600	2
F	16_34	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	1
M	35_59	1	Festivo	0	0	6
M	M60	0	SinOcup	0	0	1
M	35_59	1	DescansoNOTRAB	0	1800	7
F	16_34	0	SinOcup	0	0	2
F	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	13500	0	3
F	35_59	1	DescansoNOTRAB	0	0	7
F	16_34	0	SinOcup	32400	0	5
M	35_59	3	Normal	30000	0	4
M	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
F	M15	0	SinOcup	0	0	7
F	35_59	0	SinOcup	6600	10800	6
F	35_59	1	DescansoNOTRAB	3600	1800	7
F	M60	3	Normal	16200	9000	5
F	M60	1	Festivo	0	3900	6
M	16_34	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	14400	3
M	16_34	4	Normal	27000	0	4
M	35_59	0	SinOcup	0	0	5
F	35_59	3	Normal	25200	0	5
M	M60	0	SinOcup	0	600	7
M	16_34	3	Normal	28800	0	5
M	35_59	3	Normal	30300	3600	1
M	16_34	0	SinOcup	0	0	6
F	16_34	4	Normal	23400	3900	2
M	35_59	1	DescansoNOTRAB	0	0	7
F	M15	0	SinOcup	14100	0	6
M	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	32100	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	5400	0	5
M	16_34	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	4
F	16_34	0	SinOcup	18600	0	3
M	M60	0	SinOcup	0	0	7
M	M15	0	SinOcup	35100	0	4
M	35_59	5	Normal	7200	0	1
M	35_59	3	Normal	47400	0	5
M	M60	0	SinOcup	0	0	2
M	35_59	1	DescansoNOTRAB	0	0	6
F	16_34	1	BajaEnf	0	10800	7
F	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
F	16_34	1	BajaEnf	0	0	7
F	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	36600	0	3
F	M60	0	SinOcup	0	0	4
F	M60	0	SinOcup	0	0	6
M	35_59	4	Normal	28800	600	1
M	16_34	0	SinOcup	0	0	6
F	35_59	4	Normal	27000	900	5
M	M60	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	0	0	7
F	35_59	1	BajaEnf	0	4800	7
M	35_59	1	DescansoNOTRAB	0	13500	6
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	6
M	35_59	3	Otros	25200	0	5
M	35_59	0	SinOcup	34200	0	2
M	35_59	3	Normal	45300	0	6
M	M60	0	SinOcup	3600	0	5
M	35_59	3	Normal	25500	0	1
F	16_34	0	SinOcup	28800	0	5
M	35_59	3	Normal	33900	0	6
F	M15	0	SinOcup	33900	0	4
F	16_34	4	DescansoSITRAB	42000	0	6
F	M15	0	SinOcup	16200	0	7
F	35_59	0	SinOcup	0	0	1
M	35_59	3	MediaJ	18000	5400	5
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	5400	0	7
F	M60	0	SinOcup	0	1200	5
F	M60	0	SinOcup	0	0	5
M	35_59	2	Normal	21600	0	5
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	21600	10800	5
M	35_59	0	SinOcup	12600	0	3
M	16_34	0	SinOcup	27000	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	38700	0	5
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	2700	7
M	35_59	0	SinOcup	0	0	7
F	M15	0	SinOcup	0	10800	7
M	35_59	1	DescansoNOTRAB	0	23400	6
F	M60	0	SinOcup	0	0	2
F	M15	0	SinOcup	3600	0	6
M	M15	0	SinOcup	19800	0	2
F	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	0	SinOcup	0	0	7
M	35_59	0	SinOcup	0	7200	6
F	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	5
F	35_59	2	Otros	5700	28800	5
M	16_34	1	DescansoNOTRAB	0	0	5
F	16_34	3	Normal	36000	0	1
M	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	35100	0	3
F	35_59	3	Normal	29700	2100	7
M	35_59	3	Normal	27000	0	5
F	M60	0	SinOcup	0	0	5
F	M15	0	SinOcup	0	15000	7
F	16_34	0	SinOcup	25200	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	4
M	35_59	3	Normal	24000	0	6
F	35_59	3	Normal	31800	0	2
M	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	3600	0	4
M	35_59	3	Normal	35100	0	6
M	M60	1	DescansoNOTRAB	0	0	7
F	16_34	0	SinOcup	18000	0	1
M	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	28800	0	5
F	35_59	0	SinOcup	0	0	7
M	35_59	4	Normal	27000	0	3
M	16_34	3	Normal	30600	8100	7
M	35_59	3	Normal	27000	0	5
F	M60	0	SinOcup	0	0	5
F	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	2
M	M15	0	SinOcup	0	0	5
F	16_34	1	BajaEnf	0	14400	5
M	35_59	1	DescansoNOTRAB	0	8100	7
M	35_59	3	Normal	38400	0	5
M	35_59	3	Normal	35400	5400	4
F	M60	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	4500	5
F	M15	0	SinOcup	25200	0	1
M	35_59	1	DescansoSITRAB	18300	0	6
M	M15	0	SinOcup	0	9000	7
M	35_59	1	Festivo	0	0	7
F	35_59	0	SinOcup	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	2
M	M15	0	SinOcup	18000	0	3
M	35_59	1	DescansoNOTRAB	0	0	6
M	16_34	3	Normal	34200	0	5
F	35_59	3	Normal	30300	0	5
F	35_59	1	DescansoNOTRAB	0	10200	6
M	M60	1	DescansoNOTRAB	9000	0	7
M	35_59	4	Normal	30300	2100	5
M	M60	0	SinOcup	0	0	1
F	35_59	3	Normal	27000	4800	1
F	16_34	0	SinOcup	0	0	4
M	35_59	3	Normal	28800	8700	2
F	16_34	3	Normal	21600	0	5
F	35_59	0	SinOcup	4200	0	5
M	35_59	3	Normal	30600	11400	5
F	16_34	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	10800	6
F	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	0	0	7
F	35_59	3	Normal	27000	0	7
F	16_34	0	SinOcup	0	14400	6
F	16_34	0	SinOcup	0	18300	6
M	M60	0	SinOcup	0	0	3
F	35_59	3	Normal	33300	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	2
M	M60	0	SinOcup	0	7200	6
M	M60	0	SinOcup	0	0	7
F	35_59	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	5
F	16_34	0	SinOcup	0	15600	7
M	35_59	4	Normal	32400	0	6
F	35_59	3	Normal	20400	10800	1
M	35_59	3	Normal	28800	0	5
F	16_34	4	Normal	14100	0	5
M	M60	0	SinOcup	0	8100	4
M	35_59	3	Normal	29700	0	5
F	16_34	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	25800	0	2
F	M60	0	SinOcup	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
M	16_34	0	SinOcup	0	0	6
F	35_59	1	BajaEnf	0	1800	5
M	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	27000	8100	3
F	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	300	5
F	35_59	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	2
F	16_34	3	DescansoSITRAB	9000	7800	5
M	35_59	3	Normal	27000	0	5
F	M60	0	SinOcup	0	0	3
M	M60	0	SinOcup	0	0	1
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	19800	5
F	35_59	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	7
F	16_34	3	Normal	20700	0	2
F	M15	0	SinOcup	11700	0	7
M	16_34	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	9600	7
F	M60	0	SinOcup	0	0	3
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	15900	3
M	M15	0	SinOcup	33300	0	4
F	M60	0	SinOcup	0	0	5
F	16_34	0	SinOcup	24300	0	5
F	35_59	2	Normal	27000	5400	6
F	M60	0	SinOcup	0	0	7
M	16_34	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	4
M	16_34	0	SinOcup	27000	0	5
M	16_34	1	DescansoNOTRAB	0	0	6
M	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	6
M	35_59	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	4
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	22500	0	5
M	35_59	1	DescansoNOTRAB	0	2400	7
M	35_59	3	Normal	28800	0	1
F	M60	0	SinOcup	0	9900	5
F	16_34	3	DescansoSITRAB	37800	0	7
M	M60	0	SinOcup	0	0	2
M	M60	0	SinOcup	0	0	5
F	16_34	0	SinOcup	34200	0	6
F	35_59	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	30600	0	2
F	35_59	0	SinOcup	0	0	4
F	M60	1	DescansoNOTRAB	0	0	6
F	16_34	0	SinOcup	0	0	6
M	16_34	3	MediaJ	14400	0	1
F	M60	0	SinOcup	0	0	1
M	35_59	3	Normal	31800	0	5
F	35_59	1	Normal	10800	0	7
M	M15	0	SinOcup	5400	0	7
M	M60	0	SinOcup	0	12600	3
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	1
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	7
M	35_59	3	DescansoSITRAB	48000	0	2
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	1800	6
F	M15	0	SinOcup	8100	0	6
F	35_59	0	SinOcup	0	13800	4
M	M15	0	SinOcup	28200	10800	5
F	35_59	1	DescansoNOTRAB	0	4500	7
F	M60	0	SinOcup	0	3600	6
F	M60	0	SinOcup	0	0	6
M	35_59	3	Normal	22200	1800	5
F	16_34	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	9300	1
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	28800	0	3
M	M60	4	Normal	27000	0	6
F	M15	0	SinOcup	21000	0	4
M	35_59	3	Normal	21600	15000	2
F	M60	0	SinOcup	0	0	7
F	16_34	1	DescansoNOTRAB	0	0	7
