SEXO	EDAD	HORARIO	JORNADA	TiempoLAB	TiempoCUIDADO	DIASEMANA
F	35_59	3	Normal	27000	4500	3
M	35_59	3	Normal	32400	0	5
M	35_59	3	Normal	33600	0	2
M	35_59	3	Normal	27900	14400	5
M	35_59	3	Normal	28500	15000	1
F	35_59	3	Normal	25800	0	3
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	9000	6
M	M15	0	SinOcup	31200	0	5
F	M60	0	SinOcup	0	19200	5
F	35_59	0	SinOcup	0	15600	4
F	35_59	3	Normal	30000	0	6
M	35_59	1	Normal	5400	3600	7
F	16_34	3	Normal	45900	0	5
F	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	24900	0	5
M	M15	0	SinOcup	24600	0	4
M	M15	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	1	BajaEnf	0	20100	5
M	35_59	4	Normal	34200	3900	1
M	35_59	0	SinOcup	0	0	2
M	35_59	1	Festivo	0	17400	5
M	35_59	3	Normal	32400	0	7
F	35_59	0	SinOcup	0	6300	6
F	35_59	3	MediaJ	22500	6000	4
F	35_59	3	Otros	25200	0	5
F	16_34	1	DescansoNOTRAB	0	0	7
M	M15	0	SinOcup	3600	0	7
M	35_59	3	Normal	27900	0	5
F	35_59	0	SinOcup	0	0	5
F	16_34	3	Normal	25200	0	5
F	35_59	1	DescansoNOTRAB	0	7200	6
M	35_59	1	DescansoNOTRAB	0	16200	6
F	16_34	3	Normal	30600	0	4
M	35_59	3	Normal	25200	0	3
M	16_34	0	SinOcup	29400	0	5
M	16_34	1	DescansoNOTRAB	0	4800	7
F	16_34	5	Normal	42600	0	6
M	35_59	3	Normal	23400	4500	5
M	35_59	3	Normal	28800	0	2
F	35_59	0	SinOcup	33600	0	1
F	16_34	1	Otros	0	0	7
F	35_59	3	Normal	22500	2100	5
F	M15	0	SinOcup	27300	0	4
F	16_34	5	Normal	14700	0	5
M	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	27600	0	3
M	35_59	1	Festivo	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	6
M	16_34	0	SinOcup	25200	0	2
F	35_59	3	Normal	3600	0	5
M	35_59	3	Normal	29700	0	5
F	35_59	3	Normal	14400	7800	1
F	35_59	0	SinOcup	5400	0	6
M	35_59	3	Normal	27000	0	5
M	M15	0	SinOcup	23400	0	7
F	35_59	0	SinOcup	0	0	7
F	35_59	0	SinOcup	0	3600	6
F	35_59	4	MediaJ	25800	1200	7
F	35_59	1	Otros	0	0	5
M	35_59	5	Normal	8700	0	5
M	M15	0	SinOcup	0	0	2
M	35_59	0	SinOcup	0	0	6
F	16_34	3	Normal	34200	0	5
F	M60	3	Normal	30600	0	7
M	M15	0	SinOcup	0	0	5
F	35_59	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	0	25200	7
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	0	0	1
M	M60	0	SinOcup	7200	0	4
F	35_59	3	Normal	25800	13200	2
F	M15	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	7200	0	6
M	35_59	3	MediaJ	30600	0	5
F	16_34	1	DescansoNOTRAB	0	1800	7
M	M60	0	SinOcup	0	0	4
F	35_59	1	DescansoNOTRAB	0	1800	6
M	16_34	3	Normal	42300	0	3
F	35_59	3	Normal	27000	0	5
M	M60	3	Normal	27000	0	7
F	M60	0	SinOcup	0	0	7
F	35_59	5	Normal	33300	0	1
F	16_34	3	Normal	27000	0	6
M	35_59	1	BajaEnf	0	3000	7
F	M60	0	SinOcup	0	1800	6
M	M60	0	SinOcup	0	3300	7
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	24600	1200	5
M	M60	1	BajaEnf	0	0	5
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	7
M	16_34	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	3
F	35_59	0	SinOcup	0	4800	7
F	35_59	3	Otros	24000	9000	3
M	35_59	1	DescansoNOTRAB	0	0	7
M	16_34	1	DescansoNOTRAB	18600	0	4
F	M60	0	SinOcup	0	0	6
F	16_34	3	Normal	28800	0	6
F	16_34	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	38700	0	2
M	35_59	0	SinOcup	0	0	5
M	35_59	0	SinOcup	0	0	6
F	35_59	0	SinOcup	0	0	7
M	M15	0	SinOcup	0	0	6
M	16_34	0	SinOcup	0	0	7
F	35_59	1	Otros	0	14400	6
M	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	0	6
M	M15	0	SinOcup	16800	0	4
F	35_59	0	SinOcup	0	0	6
F	16_34	3	Normal	32100	0	2
F	M60	0	SinOcup	0	0	5
F	35_59	0	SinOcup	0	0	7
M	35_59	3	Normal	34200	4800	7
F	M60	0	SinOcup	0	0	3
M	16_34	3	Normal	28200	0	5
F	35_59	3	Normal	28800	10800	5
F	M60	0	SinOcup	0	5700	6
F	M60	0	SinOcup	0	5400	7
M	M60	0	SinOcup	0	0	7
F	M60	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	24600	5700	5
F	35_59	3	Normal	25200	0	5
M	35_59	1	DescansoNOTRAB	0	3600	6
M	M60	0	SinOcup	14400	0	2
F	M60	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	20400	0	1
F	35_59	3	Normal	14400	0	6
F	16_34	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	27300	7200	3
M	M15	0	SinOcup	23400	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	6900	6
M	M60	0	SinOcup	0	0	5
F	35_59	3	Normal	18000	1800	4
M	35_59	3	Normal	30600	0	2
M	M15	0	SinOcup	0	0	7
F	M60	0	SinOcup	0	0	1
F	M60	0	SinOcup	0	0	7
M	16_34	0	SinOcup	25200	0	1
M	M60	0	SinOcup	0	0	6
M	16_34	1	DescansoNOTRAB	0	0	5
F	35_59	1	DescansoNOTRAB	0	1800	5
M	35_59	1	DescansoNOTRAB	0	0	5
F	16_34	0	SinOcup	0	0	5
M	16_34	1	DescansoNOTRAB	8100	5400	7
M	M60	0	SinOcup	0	0	7
F	16_34	1	DescansoNOTRAB	26100	0	6
F	M60	0	SinOcup	0	21600	5
F	35_59	4	Normal	28800	0	4
M	M60	0	SinOcup	0	0	3
F	M60	0	SinOcup	0	0	6
M	16_34	0	SinOcup	19200	0	5
F	35_59	3	DescansoNOTRAB	0	11400	5
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	1
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	7500	5
M	M60	3	Otros	30600	0	3
F	M15	0	SinOcup	7500	0	6
F	M60	0	SinOcup	0	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	27900	0	4
F	M60	0	SinOcup	0	0	6
M	16_34	1	DescansoNOTRAB	0	0	7
M	35_59	3	Normal	28200	4800	5
M	16_34	0	SinOcup	3600	0	6
F	35_59	0	SinOcup	0	24900	5
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	5
M	M60	0	SinOcup	0	1800	6
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	2
M	35_59	1	DescansoNOTRAB	0	12600	7
F	M60	3	Normal	33600	0	1
F	16_34	4	Otros	28200	0	7
M	16_34	3	Normal	23100	0	2
F	16_34	0	SinOcup	0	0	4
M	35_59	3	Normal	25200	19200	5
M	M60	1	DescansoNOTRAB	0	0	5
F	35_59	1	DescansoNOTRAB	9000	0	7
F	M15	0	SinOcup	0	0	5
M	35_59	4	Normal	26700	0	3
F	35_59	3	Normal	28800	0	2
M	35_59	4	Normal	27000	0	5
M	16_34	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	6
F	35_59	3	Normal	26100	600	5
F	M60	0	SinOcup	0	0	6
F	35_59	3	Normal	21600	0	5
F	16_34	1	DescansoNOTRAB	0	0	7
M	16_34	0	SinOcup	7200	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	1	DescansoNOTRAB	0	1800	6
M	M60	0	SinOcup	0	0	4
F	16_34	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	0	SinOcup	0	4800	1
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	3
M	35_59	1	Festivo	0	14100	5
F	35_59	0	SinOcup	3600	10800	7
M	M15	0	SinOcup	3600	0	7
F	35_59	1	DescansoNOTRAB	0	0	2
M	M15	0	SinOcup	33000	1800	3
M	M60	0	SinOcup	0	7200	6
F	16_34	1	DescansoNOTRAB	0	0	1
F	M60	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	17100	600	5
F	M15	0	SinOcup	20700	0	7
F	35_59	0	SinOcup	0	0	6
M	16_34	0	SinOcup	29700	0	5
F	35_59	3	Normal	20400	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	3	DescansoSITRAB	25200	0	6
M	M60	0	SinOcup	0	0	6
F	M60	1	DescansoNOTRAB	0	0	6
F	35_59	1	BajaEnf	0	26700	3
F	35_59	1	DescansoNOTRAB	0	0	6
M	35_59	3	Normal	37200	0	5
M	M60	0	SinOcup	0	5400	5
F	35_59	3	Normal	30000	0	5
M	M60	0	SinOcup	0	1500	1
M	16_34	0	SinOcup	0	0	6
F	35_59	2	DescansoSITRAB	14400	1500	7
F	M15	0	SinOcup	0	0	7
F	16_34	3	Normal	21600	9000	5
M	M15	0	SinOcup	25200	0	5
M	M60	1	DescansoNOTRAB	0	0	7
F	16_34	0	SinOcup	19200	0	2
F	M60	0	SinOcup	0	0	7
M	35_59	3	Normal	34800	7500	5
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	7
M	35_59	1	DescansoNOTRAB	0	0	6
M	16_34	3	Normal	24300	0	4
F	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	28800	0	6
M	M60	3	Normal	27000	0	5
M	M60	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	5
M	35_59	3	Normal	28800	9000	1
F	M15	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	4
M	35_59	5	Normal	28200	0	7
F	M60	0	SinOcup	0	0	6
F	M60	0	SinOcup	0	0	7
M	16_34	0	SinOcup	5400	0	5
M	M60	0	SinOcup	0	0	7
F	M60	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	1
M	M60	0	SinOcup	0	0	5
F	35_59	1	DescansoNOTRAB	0	0	7
M	M60	0	SinOcup	0	0	6
M	16_34	3	Normal	30000	0	1
M	M60	0	SinOcup	0	0	3
M	35_59	1	DescansoNOTRAB	0	0	6
F	M60	0	SinOcup	0	0	6
M	M60	0	SinOcup	14400	0	2
F	M60	0	SinOcup	9300	0	4
M	16_34	0	SinOcup	16200	0	7
M	35_59	3	Normal	21600	0	5
M	35_59	3	DescansoNOTRAB	0	3600	7
F	M60	0	SinOcup	0	0	6
F	35_59	3	Festivo	0	31200	5
M	M60	0	SinOcup	0	13500	3
M	16_34	0	SinOcup	25200	13800	5
M	35_59	0	SinOcup	0	0	6
M	16_34	1	DescansoNOTRAB	0	3000	7
F	M15	0	SinOcup	8100	0	6
F	M60	0	SinOcup	0	9000	6
M	M60	0	SinOcup	0	7200	5
F	M60	0	SinOcup	0	0	5
M	35_59	1	DescansoNOTRAB	0	0	7
F	M60	0	SinOcup	0	0	5
F	M60	0	SinOcup	0	0	2
M	16_34	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	6
F	35_59	1	DescansoNOTRAB	2700	0	6
M	35_59	1	DescansoNOTRAB	0	0	7
M	16_34	1	DescansoNOTRAB	0	0	7
F	16_34	5	Normal	43200	5400	4
M	M60	0	SinOcup	0	15300	6
M	35_59	3	Normal	29400	0	3
F	M60	0	SinOcup	0	0	7
M	M60	0	SinOcup	0	2700	7
M	35_59	1	DescansoNOTRAB	0	0	7
F	35_59	3	Normal	30600	0	5
F	M15	0	SinOcup	17100	0	5
M	M60	0	SinOcup	0	0	4
F	35_59	0	SinOcup	0	0	6
M	35_59	1	Normal	30600	4200	3
M	16_34	3	Normal	36300	0	5
F	16_34	0	SinOcup	41700	0	6
M	35_59	3	Normal	33900	0	6
F	16_34	3	Normal	20700	8400	1
F	M60	0	SinOcup	0	0	2
F	M60	0	SinOcup	0	0	7
F	35_59	3	Normal	14400	23400	5
F	16_34	0	SinOcup	0	10800	7
M	16_34	0	SinOcup	10200	0	7
M	35_59	1	Otros	0	0	7
